,x,y,dx1966,dy1966,dx1980,dy1980,dx1990,dy1990,dx2000,dy2000,dx2010,dy2010,dx2020,dy2020
10466,126.3,37.3500000000001,-0.11648842438400209,-0.15828876537230485,-0.24761567104700077,-0.24873931149459594,-0.3364837329459931,-0.2851868640148041,-0.34647982644099784,-0.2656283727127047,-0.3666593446649955,-0.28125989609409885,-0.37116636186999585,-0.28480949567870084
10467,126.35,37.3500000000001,-0.12916846342099575,-0.1713138373755001,-0.26356391578001137,-0.2760160659137014,-0.3552715810429845,-0.3171055549108033,-0.36568400739400886,-0.2945388991824984,-0.3855177478440055,-0.3116252377084976,-0.3889765620739922,-0.31639617316660207
10468,126.4,37.3500000000001,-0.144071520457004,-0.1846888063184977,-0.27818697237302104,-0.31160859746159986,-0.37131268659901195,-0.35996912390110225,-0.3827437628550001,-0.3326265810281015,-0.40151381160801236,-0.3511476449293056,-0.40346940834999145,-0.357367204982701
10469,126.45,37.3500000000001,-0.16006192017700016,-0.2029741665647009,-0.2893875638170016,-0.35718629632989973,-0.3816375959380025,-0.4147764989651037,-0.3941412010250076,-0.38037872437870135,-0.4121844368790022,-0.3984191329889981,-0.41335581941002886,-0.40384285858920066
10470,126.5,37.3500000000001,-0.1726677723970056,-0.23020533332500293,-0.29500234657301405,-0.4177786599593958,-0.3820550666920042,-0.4834112324643982,-0.39937715866899737,-0.4341078777787999,-0.41898432521499274,-0.4491287467597047,-0.42167461739799705,-0.450485023983596
10471,126.55,37.3500000000001,-0.17406977879100793,-0.2583450159929015,-0.27571019964199195,-0.5062666829693967,-0.34953478409799743,-0.5718851641568037,-0.39142129000200043,-0.5057510494609971,-0.4152664854820074,-0.5162270225081045,-0.4231163573310113,-0.5121405061246023
10472,126.6,37.3500000000001,-0.17958758062700042,-0.27829645167920347,-0.21231326568899078,-0.6105822295028034,-0.2874587577999961,-0.6492854106770025,-0.3519176927199936,-0.6095547460794961,-0.38383765764899636,-0.6143374433641995,-0.3938928124139949,-0.6098150041208967
10473,126.65,37.3500000000001,-0.20186061275801137,-0.29988208742060607,-0.12188258033100396,-0.7147687507410012,-0.26534863858999813,-0.7344152534970974,-0.252434378603013,-0.7519584410279023,-0.29629541467301124,-0.7438451597041009,-0.30588932407400193,-0.7342558367808039
10474,126.7,37.3500000000001,-0.19053027561899682,-0.3794321805039971,-0.01778291785700503,-0.7710584664713025,-0.14677661918899787,-0.8548637605243954,-0.11754179851999424,-0.8219294153243979,-0.16550596458000655,-0.8022313811453969,-0.15979725835200043,-0.7812893192131014
10475,126.75,37.3500000000001,-0.1684351955999972,-0.44157927035639943,0.02970205826200356,-0.7880349395845982,-0.03299775024400731,-0.9263624534468988,-0.00447432267401382,-0.8815082878758034,-0.03370853706900334,-0.8646549799433032,-0.026125794048994067,-0.8276532901007059
10476,126.8,37.3500000000001,-0.11471514030499463,-0.5101847853381045,0.023940300545007176,-0.7905086783259989,0.012329046777992403,-0.9718764970038052,0.05829778737700053,-0.930678298785601,0.04475605448401154,-0.912205130128001,0.05717712128000585,-0.8684135882598056
10477,126.85,37.3500000000001,-0.04286078134099114,-0.5772633631288997,0.02813044500901185,-0.8195004012903979,0.043224968157005605,-0.9961518079543055,0.07080661078501294,-0.9326030581828064,0.07257662530800246,-0.9144089685273045,0.08735425439500943,-0.8682823825479957
10478,126.9,37.3500000000001,0.17207559031200503,-0.6145706587348982,0.11090282990399203,-0.8746383441433068,0.15207699002799302,-0.973233470278899,0.1757216850160006,-0.8687330842162027,0.18903772783299644,-0.8511855549011003,0.20962033559699478,-0.8052811369078015
10479,126.95,37.3500000000001,0.27082194056498565,-0.6141238830718976,0.3218542925909986,-0.923779062475603,0.33668535508100206,-0.9846260462968033,0.44667758456800755,-0.863286833831701,0.45345875832398974,-0.8415403510310995,0.4667897701989858,-0.7945539786748981
10480,127.0,37.3500000000001,0.4118794435600108,-0.6307702698950024,0.47524403256200287,-0.8740804105359956,0.5459385929330125,-0.9724260339735977,0.623409700378005,-0.8605968391992036,0.648094406488994,-0.8377216883633949,0.6613402320490138,-0.7956429305608026
10481,127.05,37.3500000000001,0.4761570888399973,-0.5820259230833997,0.5066453502760027,-0.804352353177002,0.7275737155899833,-0.8954001662123048,0.7692904925630017,-0.7958554073498973,0.8057445713489955,-0.7840828920574978,0.8061577660140102,-0.7502118687363932
10482,127.1,37.3500000000001,0.46592547499599846,-0.5690287397793057,0.5575710167680086,-0.7972728843053076,0.7331656627689966,-0.8620051188417008,0.7478091042770103,-0.7802193827544954,0.7781473425149983,-0.7700383186246,0.7706808411270032,-0.7448302285382056
10483,127.15,37.3500000000001,0.4725442249430074,-0.554849109683893,0.5963964696559856,-0.7736624358541988,0.7399408334779878,-0.8328067321902068,0.7353210525469933,-0.7611736570343979,0.7619678808029846,-0.7523710917131012,0.759295067008992,-0.726178601925497
10484,127.2,37.3500000000001,0.502228818411993,-0.5276170765903956,0.6659608281839979,-0.7148467233127036,0.7672529565339943,-0.7869884328260994,0.7495291738419922,-0.7265366709293986,0.7792782454350089,-0.7278015902494985,0.7816608658580009,-0.7089192564349958
10485,127.25,37.3500000000001,0.5166379189469978,-0.47853429608839804,0.6949390284269867,-0.6372048495081017,0.7868954984510026,-0.7127694649391003,0.759772872529993,-0.669078528788809,0.7826386264679854,-0.679203923399804,0.7769082464259895,-0.6661520991667018
10486,127.3,37.3500000000001,0.5791950379230002,-0.36961103203770307,0.7335288082999938,-0.4991384437449966,0.8605106919149961,-0.5994580514078933,0.8305866097999939,-0.5563886582562034,0.8569842676910042,-0.5686658999971996,0.8533199240350058,-0.5595189412768988
10487,127.35,37.3500000000001,0.6092557963820155,-0.2875511089896037,0.7553883109830224,-0.4260763061490991,0.9156418417790064,-0.47826088032480385,0.8876067627149951,-0.4360670598716041,0.9175388234410207,-0.45380703520130083,0.9147368825580031,-0.45076736763719794
10488,127.4,37.3500000000001,0.6238858769980027,-0.22782838579399822,0.7778437527499875,-0.3599868650953084,0.9311801783069882,-0.3775631016530028,0.9090958642260034,-0.3312850908697058,0.9466532355889967,-0.3518906358915004,0.9493237473949989,-0.3531026576457066
10489,127.45,37.3500000000001,0.6264913762079942,-0.1807176689192005,0.781207223845982,-0.29958355938999404,0.9267850589520066,-0.3012488467063079,0.912474330573005,-0.24674175264549802,0.9567618709040033,-0.261639561258896,0.9639310371390053,-0.26049830194230594
